,demand,weekofyear_trans,hourofweek_trans
2018-06-09 05:00:00,596.6999999999999,769.0291666666664,652.903448275862
2018-06-09 06:00:00,623.1,769.0291666666664,642.4896551724139
2018-06-09 07:00:00,655.1999999999999,769.0291666666664,661.0965517241381
2018-06-09 08:00:00,668.7,769.0291666666664,698.6310344827588
2018-06-09 09:00:00,690.3,769.0291666666664,739.2862068965514
2018-06-09 10:00:00,707.8000000000001,769.0291666666664,764.9172413793103
2018-06-09 11:00:00,723.6,769.0291666666664,825.8068965517241
2018-06-09 12:00:00,834.6999999999999,769.0291666666664,915.4827586206898
2018-06-09 13:00:00,871.4,769.0291666666664,953.8965517241379
2018-06-09 14:00:00,880.1,769.0291666666664,959.5344827586205
2018-06-09 15:00:00,868.4000000000001,769.0291666666664,962.5103448275863
2018-06-09 16:00:00,881.5,769.0291666666664,963.2172413793104
2018-06-09 17:00:00,841.5,769.0291666666664,957.9034482758623
2018-06-09 18:00:00,856.8999999999999,769.0291666666664,948.634482758621
2018-06-09 19:00:00,787.5,769.0291666666664,882.051724137931
2018-06-09 20:00:00,695.3,769.0291666666664,802.5689655172415
2018-06-09 21:00:00,674.0999999999999,769.0291666666664,782.1862068965517
2018-06-09 22:00:00,662.9000000000001,769.0291666666664,748.403448275862
2018-06-09 23:00:00,642.0,769.0291666666664,731.2137931034482
2018-06-10 00:00:00,601.7,769.0291666666664,702.7448275862068
2018-06-10 01:00:00,641.1,769.0291666666664,695.7241379310345
2018-06-10 02:00:00,551.3,769.0291666666664,625.4103448275862
2018-06-10 03:00:00,600.5,769.0291666666664,663.4206896551723
2018-06-10 04:00:00,586.3,769.0291666666664,652.2310344827586
2018-06-10 05:00:00,586.0,769.0291666666664,643.7275862068965
2018-06-10 06:00:00,606.6999999999999,769.0291666666664,638.3
2018-06-10 07:00:00,608.4,769.0291666666664,657.3206896551725
2018-06-10 08:00:00,637.9,769.0291666666664,697.7137931034483
2018-06-10 09:00:00,649.4,769.0291666666664,725.8448275862069
2018-06-10 10:00:00,669.5999999999999,769.0291666666664,748.5827586206896
2018-06-10 11:00:00,732.3,769.0291666666664,814.7758620689655
2018-06-10 12:00:00,829.0,769.0291666666664,917.5724137931034
2018-06-10 13:00:00,853.5,769.0291666666664,952.4896551724138
2018-06-10 14:00:00,867.7,769.0291666666664,959.4103448275864
2018-06-10 15:00:00,865.4000000000001,769.0291666666664,969.9448275862071
2018-06-10 16:00:00,868.6000000000001,769.0291666666664,980.0655172413793
2018-06-10 17:00:00,882.6000000000001,769.0291666666664,978.7931034482758
2018-06-10 18:00:00,847.3,769.0291666666664,959.6241379310345
2018-06-10 19:00:00,763.3999999999999,769.0291666666664,892.444827586207
2018-06-10 20:00:00,677.3000000000001,769.0291666666664,812.0344827586207
2018-06-10 21:00:00,679.4,769.0291666666664,788.8517241379309
2018-06-10 22:00:00,674.9,769.0291666666664,759.9103448275863
2018-06-10 23:00:00,669.8,769.0291666666664,748.3827586206896
2018-06-11 00:00:00,635.0,757.4624999999997,725.1241379310345
2018-06-11 01:00:00,643.9,757.4624999999997,710.5466666666667
2018-06-11 02:00:00,569.0,757.4624999999997,638.5333333333333
2018-06-11 03:00:00,589.3,757.4624999999997,674.0266666666666
2018-06-11 04:00:00,590.7,757.4624999999997,654.0
2018-06-11 05:00:00,584.1,757.4624999999997,647.09
2018-06-11 06:00:00,566.3000000000001,757.4624999999997,646.9100000000002
2018-06-11 07:00:00,635.3000000000001,757.4624999999997,670.7933333333333
2018-06-11 08:00:00,725.8,757.4624999999997,752.9433333333334
2018-06-11 09:00:00,840.4000000000001,757.4624999999997,875.0466666666666
2018-06-11 10:00:00,949.4,757.4624999999997,947.0300000000001
2018-06-11 11:00:00,990.4,757.4624999999997,1016.3366666666667
2018-06-11 12:00:00,973.9,757.4624999999997,1032.8733333333334
2018-06-11 13:00:00,996.0,757.4624999999997,1047.41
2018-06-11 14:00:00,979.8999999999999,757.4624999999997,1031.48
